id,nombre,descripcion,precio,stock,categoria,create_date,proveedor_id,imagen
1,Vader-DDK T.T. clasico (Modelo Fast),Dentro de este está el modelo Fast,15549,5,Asientos,,2,
2,Gyda-Vader-DDK prost t./city/T.T.especial,,25054,1,Asientos,,2,
3,BOLSO P/ CELULAR PARA CUADRO.,,8306,1,Bolsos ,,4,
4,BOLSITO BAJO ASIENTO GRANDE,,6075,1,Bolsos ,,4,
5,BOLSO BAJO-ASIENTO CHICO,,5224,1,Bolsos ,,4,
6,Cadenas TEC (C410 - 108L - 1/2 X 1/8),,3505,1,Cadenas,,2,
7,Cadenas RLH (410Z - 108L - 1/2 X 1/8),,3225,2,Cadenas,,2,
8,Cadena KMC x9 vel (Z99) ,,43662,2,Cadenas,,2,
9,L.M. 20 caja x 150 unidades,,3169,1,Parches,,2,
10,L.M. 30 caja x 100 unidades,,2820,1,Parches,,2,
11,Precurex 10 cm x caja de 12 pomos,,11785,1,Parches,,2,
12,V. vulcanizada larga 48 mm. 27.5-29 x 2.10 (100),Camara R.29 marca DINI,4047,4,Camaras,,2,
13,Kyowa 700 x 32-35 v.tubo (francesa) 48 mm.,,7723,3,Camaras,,2,
14,Kyowa 27.5-29 v. tubo (francesa) 48 mm.,,10572,4,Camaras,,2,
15,R29 Colla v. auto,,2474,5,Camaras,,4,
16,R26 Colla v. auto,,2505,16,Camaras,,4,
17,V. dunlop 20 (100),,2880,3,Camaras,,2,
18,CAMARA MTB R-29 BUTYLO A/V 48MM,Marca Camel,4358,2,Camaras,,4,
19,Kyowa 27.5-29 v. auto vulcanizada,Comprende las marcas: DINI/ARISUN/KYOWA,7190,21,Camaras,,2,
20,Vee Rubber butyl 27.5 x 1.50/1.75 V.auto vulc. / V  ,,6168,2,Camaras,,2,
21,Maxxum plastica con porta (100),,3136,1,Caramanolas,,2,
22,Caramanola Roark plastica s/porta 550ml,,2305,1,Caramanolas,,2,
23,Caramanola Roark plastica s/porta 750ml,,2814,2,Caramanolas,,2,
24,CASCO OXEA 18 VENT. IN MOLD TS-09,,35973,1,Cascos,,4,
25,T.T. 26 DSH  (30)                                   ,R26 x 1.95 Taco alto comun DSH-R26 x 1.70 Taco para ruta DSH-R26 x 2.00 Taco bajo DSH-R26 x 2.00 Taco mediano DSH-R26 x 2.00 Taco MTB DSH ,10793,20,Cubiertas,,2,
26,CUBIERTA ARISUN MOUNT GRAHAM R-26X2.20 60 TPI,Dentro de esta también se encuentra el modelo EMMONS,16901,5,Cubiertas,,4,
27,Assize 11 funciones AS 880 caja amarilla            ,,11569,2,Cuenta Kilometros,,2,
28,Cuenta kilometros Echowell Bri-2 8 funciones blister                  ,,22714,1,Cuenta Kilometros,,2,
29,Desarma cadena Taiwan,,10903,3,Herramientas,,2,
30,ESLINGA T/RULO 12*1200 MM C/SOPORTE,Eslinga Tomaselli chiquita Security Forte,6632,4,Cadenas,,4,
31,Firebird rulo 15 mm. llave                          ,Security Lock Forte Motorcycle Parts,14112,1,Cadenas,,2,
32,Estira rayos comun,,1294,2,Herramientas,,2,
33,Beto doble válvula CLD-038                          ,Valvulas Fijas,17475,1,Infladores,,2,
34,Beto doble acción CMP-002                           ,,21773,4,Infladores,,2,
35,Silicona set delantera y trasera (30),,5467,2,Luces,,2,
36,Set recargable via USB delantera y trasera 120 lumens,,24435,1,Luces,,2,
37,Lentes,,2250,3,Lentes,,2,
38,T.T. 24-26 aluminio Foxter/Houston (10)             ,,4019,3,Llantas,,2,
39,Bici T.T. aluminio por unidad                       ,,14102,1,Llantas,,2,
40,Llave 7 funciones tipo cortaplumas,,8770,1,Herramientas,,2,
41,Jarama multiuso x 250cc. (12),,2382,3,Lubricantes,,2,
42,Delantero importado con rulemán                     ,,4541,2,Repuestos,,2,
43,Palanca saca cubierta plastica x 3 unid. (50),,1905,4,Herramientas,,2,
44,Parches preencolados slime,,3228,11,Parches,,2,
45,Pedales de aluminio,,5022,2,Repuestos,,2,
46,T.T. aluminio / acero                               ,,12932,3,Accesorio,,2,
47,6 coronas                                           ,,6308,1,Piñones,,2,
48,7 coronas                                           ,,6492,1,Repuestos,,2,
49,Shimano HG 200 9 c. cassette en caja (Acera)        ,,29553,1,Repuestos,,2,
50,Porta caramanola aluminio                           ,,1757,1,Caramanolas,,2,
51,Portacaramanola plastico Smart color                ,,1990,1,Caramanolas,,2,
52,Van Halen anillado aro aluminio (VAN 201)           ,,13191,1,Accesorio,,2,
53,Importado 2.34 mm. con niple x gruesa               ,,10232,1,Repuestos,,2,
54,Slime p/camara 1 Galon,,73682,1,Liquido Antipinchazos,,5,
55,Slime p/camara 16oz,,11150,4,Liquido Antipinchazos,,5,
56,Slime p/camara 8oz,,8184,3,Liquido Antipinchazos,,5,
57,Slime s/camara (tubeless) 16oz,,13574,4,Liquido Antipinchazos,,5,
58,Slime s/camara (tubeless) 8oz,,9249,5,Liquido Antipinchazos,,5,
59,Solucion para parches slime,,3758,1,Parches,,5,
60,Tarugos,,1500,10,Repuestos,,5,
61,Valvulas cromadas slime,,3003,1,Accesorio,,5,
